OperationID,OperationDate,location,teamID,Shift,EquipmentID,Input_Weight(tons),Energy_Consumed,Processing_Time,Waste(tons),Output_Weight(tons)2,,
1,6/1/2025,Lake Austin,4,morning,3,36.12752,1192.33,11.16,0.70066,35.42686,,
2,6/1/2025,Lake Austin,5,evening,6,19.95036,342.77,10.78,0.93483,19.01553,,
3,6/1/2025,Lake Austin,6,night,9,38.73301,390.03,1.99,1.97134,36.76167,,
4,6/2/2025,North Lisatown,22,morning,38,50.90145,503.15,11.63,1.83124,49.07021,,
5,6/2/2025,North Lisatown,23,evening,44,18.54457,622.51,2.47,1.91464,16.62993,,
6,6/2/2025,North Lisatown,24,night,46,49.21689,427.76,5.69,0.58721,48.62968,,
7,6/3/2025,Lake Jamieport,7,morning,57,59.14795,1006.33,10.45,1.39998,57.74797,,
8,6/3/2025,Lake Jamieport,8,evening,72,57.24216,635.22,6,0.60603,56.63613,,
9,6/3/2025,Lake Jamieport,9,night,73,28.28307,355.66,2.42,1.0324,27.25067,,
10,6/4/2025,Petersonview,25,morning,75,45.26818,951.63,4.4,1.58367,43.68451,,
11,6/4/2025,Petersonview,26,evening,77,43.78377,614.76,6.18,0.61479,43.16898,,
12,6/4/2025,Petersonview,27,night,79,51.74293,739.92,8.62,1.14472,50.59821,,
13,6/7/2025,North Lisatown,22,morning,38,52.63183,936.33,8.03,1.06867,51.56316,,
14,6/7/2025,North Lisatown,23,evening,44,38.64219,788.56,4.25,1.12389,37.5183,,
15,6/7/2025,North Lisatown,24,night,46,44.31582,524.81,4.83,1.42867,42.88715,,
16,6/8/2025,Karenbury,1,morning,89,35.93197,977.54,2.44,1.46425,34.46772,,
17,6/8/2025,Karenbury,2,evening,93,12.38294,684.49,6.66,1.04141,11.34153,,
18,6/8/2025,Karenbury,3,night,95,46.17915,1146.97,7.69,1.83259,44.34656,,
19,6/9/2025,Karenbury,1,morning,99,36.40686,1170.77,3.26,0.89623,35.51063,,
20,6/9/2025,Karenbury,2,evening,113,21.14589,328.98,11.92,0.59629,20.5496,,
21,6/9/2025,Karenbury,3,night,115,53.3324,730.72,2.56,0.71325,52.61915,,
22,6/10/2025,North Jeremymouth,19,morning,116,51.05924,373.21,8.91,0.91376,50.14548,,
23,6/10/2025,North Jeremymouth,20,evening,118,46.61878,679.66,8.12,1.35813,45.26065,,
24,6/10/2025,North Jeremymouth,21,night,121,14.89591,435.47,9.79,0.87422,14.02169,,
25,6/11/2025,New Sonia,16,morning,134,12.51255,801.26,7.75,0.77564,11.73691,,
26,6/11/2025,New Sonia,17,evening,136,59.17421,897.96,8.99,1.92361,57.2506,,
27,6/11/2025,New Sonia,18,night,142,41.19886,1154.44,6.9,1.92852,39.27034,,
28,6/14/2025,Lake Austin,4,morning,3,12.05674,603.28,8.12,0.66068,11.39606,,
29,6/14/2025,Lake Austin,5,evening,6,34.60822,757.57,4.55,1.44482,33.1634,,
30,6/14/2025,Lake Austin,6,night,9,37.8713,1087.6,6.24,0.90139,36.96991,,
31,6/15/2025,Mcfarlandburgh,13,morning,146,38.94366,526.08,1.29,0.61343,38.33023,,
32,6/15/2025,Mcfarlandburgh,14,evening,147,56.26128,883.33,5.68,0.97114,55.29014,,
33,6/15/2025,Mcfarlandburgh,15,night,148,43.24323,448.25,11.54,1.4895,41.75373,,
34,6/16/2025,Mcfarlandburgh,13,morning,146,15.04973,617.38,10.25,0.63045,14.41928,,
35,6/16/2025,Mcfarlandburgh,14,evening,147,26.64126,1012.13,11.26,1.3511,25.29016,,
36,6/16/2025,Mcfarlandburgh,15,night,148,35.60245,338.45,4.4,1.27294,34.32951,,
37,6/17/2025,North Lisatown,22,morning,52,31.75426,870.35,8.45,0.92562,30.82864,,
38,6/17/2025,North Lisatown,23,evening,53,27.25753,987.75,7.7,1.12762,26.12991,,
39,6/17/2025,North Lisatown,24,night,56,35.43755,1034.24,3.25,1.25386,34.18369,,
40,6/18/2025,Lake Austin,4,morning,17,15.01035,708.09,2.82,1.32907,13.68128,,
41,6/18/2025,Lake Austin,5,evening,20,17.43824,940.45,4.3,1.09377,16.34447,,
42,6/18/2025,Lake Austin,6,night,23,57.54417,445.37,6.91,1.56171,55.98246,,
