QCTestID,SampleID,teamID,TestDate,Purity_Percent,Copper_Percent,Iron_Percent,Zinc_Percent,Moisture_Percent,dry_weight,Test_Score
1,72,54,2025-08-21,87.12,31.37,2.81,0.62,0.168931897,2.57631112,52.59621362
2,40,52,2025-08-21,87.12,25.04,8.88,1.21,0.073700038,9.114791627,50.04525999
3,89,57,2025-08-21,91.46,26.66,2.53,0.48,0.078080674,3.392663121,53.41438387
4,110,51,2025-08-21,93.59,30.98,6.25,0.6,0.05974788,5.801355578,55.38805042
5,84,53,2025-08-21,90.11,13.16,5,0.58,0.12531671,7.119921981,48.41493666
6,73,55,2025-08-21,87.39,19.22,1.03,0.02,0.192067516,5.978700383,49.3215865
7,81,57,2025-08-21,96.05,18.95,9,0.75,0.152863377,6.777092986,52.70942732
8,6,58,2025-08-21,99.35,22.84,0.77,0.11,0.157366817,2.553178544,56.40852664
9,70,59,2025-08-21,95.93,31.38,6.84,1.75,0.11456345,1.673475079,56.49708731
10,37,52,2025-08-21,86.15,21.23,9.72,1.45,0.156052071,2.329296285,48.29878959
11,104,58,2025-08-21,97.53,33.96,7.12,1.19,0.110131236,0.783084512,58.09797375
12,140,59,2025-08-21,86.01,25.76,3.33,1.49,0.091999537,1.988521013,50.23160009
13,18,59,2025-08-21,91.5,14.83,0.83,1.8,0.144087758,3.748895618,49.91118245
14,29,56,2025-08-21,98.84,20.55,5.84,1.39,0.055114553,9.023656015,54.84897709
15,21,51,2025-08-21,88.92,32.32,7.36,1.19,0.06499968,3.637151245,53.28700006
16,27,55,2025-08-21,86.91,21.84,3.65,0.26,0.095762966,4.23182932,49.60084741
17,135,56,2025-08-21,96.36,24.99,6.57,0.82,0.125598996,6.426847379,54.9148802
18,67,59,2025-08-21,98.84,23.31,5.71,1.16,0.097206879,3.520893172,55.71055862
19,24,51,2025-08-23,89.85,12.1,0.44,1.21,0.168786024,0.881086815,48.3562428
20,108,56,2025-08-23,88.46,7.52,9.21,1.92,0.101775446,5.488152027,45.34964491
21,87,59,2025-08-23,87.72,14.57,3.86,0.42,0.089009963,7.078392589,47.78219801
22,85,54,2025-08-23,99.35,5.7,3.86,1.33,0.138109486,6.507273381,50.8423781
23,137,59,2025-08-23,93.59,29.01,8.48,0.52,0.13751439,3.49306672,54.57249712
24,111,57,2025-08-23,97.82,25.01,4.89,0.84,0.190839577,6.295268094,55.80183208
25,96,59,2025-08-23,89.59,14.34,4.57,1.94,0.051253194,7.846136086,48.43974936
26,112,58,2025-08-23,85.84,6.41,6.43,0.67,0.072330224,0.918393079,44.11553396
27,145,55,2025-08-23,91.76,30.72,2.2,0.73,0.109558411,1.264427056,54.77808832
28,103,53,2025-08-23,88.09,22.55,5.33,0.88,0.068550639,2.626687198,50.17628987
29,150,57,2025-08-23,92.73,34.88,6.72,0.09,0.111784306,2.584707671,56.12764314
30,10,51,2025-08-23,93.02,3.99,5.43,0.8,0.129520901,2.942219353,47.05409582
31,34,60,2025-08-23,89.38,8.95,7.12,1.24,0.179797195,6.996329929,46.50404056
32,92,53,2025-08-23,89.58,3.39,6.03,1.16,0.117751108,2.673214144,45.06644978
33,106,51,2025-08-23,85.36,26.19,8.43,1.75,0.136256711,2.375294044,49.49274866
34,68,56,2025-08-23,91.26,6.01,8.8,1.29,0.092936156,8.635247797,46.40141277
35,107,59,2025-08-23,89.82,30.92,1.07,1.12,0.16626892,3.426634738,53.93674622
36,124,60,2025-08-24,94.23,17.46,2.66,1.28,0.076961883,8.150426577,51.94460762
37,12,52,2025-08-24,97.81,18.65,0.64,0.1,0.182293371,5.805717063,54.39354133
38,22,59,2025-08-24,92.34,1.97,2.37,1.99,0.053460396,8.395806292,46.30930792
39,23,52,2025-08-24,86.23,21.68,7.24,0.31,0.117823529,8.78647765,48.83643529
40,86,57,2025-08-24,98.91,8.35,0.88,0.84,0.182995991,3.529457319,51.7534008
41,59,58,2025-08-24,97.04,7.87,1.64,0.6,0.140256279,6.473870222,50.63194874
42,60,58,2025-08-24,90.45,31.39,7.73,1.16,0.072014137,9.252019056,53.73559717
43,25,55,2025-08-24,89.93,31.14,4.5,1.12,0.115588206,1.538876521,53.71688236
44,120,54,2025-08-24,98.98,0.68,2.97,0.71,0.177869875,4.990329856,49.29442602
45,49,53,2025-08-24,90.59,29.21,6.48,1.95,0.055691557,0.897093021,53.20886169
46,138,51,2025-08-24,94.47,31.63,8.88,1.51,0.099928894,7.092560313,55.66001422
47,52,58,2025-08-24,99.68,18.16,0.47,1.78,0.147164581,1.304838191,55.03056708
48,97,59,2025-08-24,85.55,23.14,6.96,0.92,0.146520052,6.588865202,48.90069599
49,136,59,2025-08-24,89.69,26.99,6.72,1.2,0.064287891,2.095995125,52.13714242
50,149,56,2025-08-24,88.45,24.15,8.69,0.83,0.143979646,6.094864918,50.49120407
51,126,55,2025-08-24,98.74,16.34,2.04,0.62,0.133246978,5.859250428,53.9833506
52,71,53,2025-08-24,93.21,20.28,7.16,1.06,0.106570242,6.164665329,51.84868595
53,79,51,2025-08-25,85.8,20.31,1.13,0.39,0.085695847,1.344027104,48.82286083
54,127,52,2025-08-25,96.25,29.55,0.66,0.44,0.173223604,3.199624654,56.84535528
55,32,57,2025-08-25,95.19,8.8,6.84,1.03,0.191997613,6.706419814,49.41160048
56,93,56,2025-08-25,94.87,26.62,0.32,0.04,0.121925714,3.108382973,55.36561486
57,125,60,2025-08-25,99.24,28.53,0.54,0.9,0.072566656,6.649697079,58.01548667
58,7,56,2025-08-25,98.03,28,0.47,1.99,0.16720976,6.162647773,57.13655805
59,42,55,2025-08-25,96.22,28.37,4.71,1.65,0.123283688,7.986885599,55.95534326
60,118,58,2025-08-25,88.32,29.11,7.6,0.18,0.098282883,3.399473531,52.09034342
61,55,60,2025-08-25,87.06,14.9,9.92,1.32,0.133976144,5.230784089,46.85320477
62,146,56,2025-08-25,88.29,21.82,2.34,0.46,0.176671888,4.610637428,50.37466562
63,31,54,2025-08-25,88.06,26.56,7.94,0.24,0.172130024,5.149351249,51.145574
64,90,56,2025-08-25,93.46,27.06,7.97,0.7,0.186932236,1.170817581,53.94261355
65,74,57,2025-08-25,94.88,33.57,8.74,1.36,0.099762521,1.404370467,56.4800475
66,119,58,2025-08-25,92.86,34.14,3.21,1.11,0.138865044,3.918164048,56.21222699
67,4,59,2025-08-25,85.84,19.98,1.42,0.1,0.068415292,8.49605254,48.74631694
68,117,56,2025-08-25,90.41,16.57,7.99,1.71,0.050620631,2.781681551,49.19987587
69,61,55,2025-08-25,99.42,29.33,5.72,0.96,0.189710224,3.038586662,57.80205796
70,56,60,2025-08-26,95.36,8.09,4.21,1.71,0.101469613,0.871574475,49.49970608
71,50,51,2025-08-26,90.51,26.94,0.68,0.38,0.055245705,4.771009192,53.21895086
72,8,56,2025-08-26,95.01,7.12,0.16,0.18,0.138655202,1.946639243,49.58226896
