SampleID,InventoryID,teamID,SampleDate,SampleWeight(Kg),Samples_Per_Day,Error_Percent,Avg_Quality_Score,Sample_Count
1,140,43,2025-08-10,3.59,9,0.82,62.44,29
2,5,42,2025-08-10,4.02,9,4.95,89.62,50
3,27,49,2025-08-10,9.28,7,4.01,85.96,47
4,17,45,2025-08-10,9.12,4,1.53,62.3,72
5,102,48,2025-08-10,4.83,1,0.64,77.74,68
6,126,45,2025-08-10,3.03,6,2.65,79.28,15
7,123,49,2025-08-10,7.4,8,2.09,86.07,89
8,64,49,2025-08-10,2.26,6,2.96,73.18,96
9,122,48,2025-08-10,5.46,9,3.47,70.24,84
10,145,46,2025-08-10,3.38,5,4.09,65.4,54
11,57,40,2025-08-10,0.55,2,0.56,61.92,20
12,20,48,2025-08-11,7.1,7,3.71,54.63,16
13,110,50,2025-08-11,2.71,2,1.83,82.29,42
14,112,41,2025-08-11,2.19,5,4.94,83.48,50
15,66,44,2025-08-11,3.35,1,4.31,84.37,18
16,121,48,2025-08-11,8.52,6,3.02,50.16,76
17,30,49,2025-08-11,4.82,7,3.19,71.91,82
18,39,45,2025-08-11,4.38,8,1.36,56.13,67
19,70,50,2025-08-11,1.69,8,1.52,76.33,34
20,92,46,2025-08-11,2.83,5,1.19,98.99,43
21,65,40,2025-08-11,3.89,4,2.2,74.96,57
22,148,46,2025-08-11,8.87,7,1,68.73,62
23,55,43,2025-08-11,9.96,4,2.8,90.69,21
24,105,45,2025-08-11,1.06,7,3.37,98.41,46
25,70,41,2025-08-11,1.74,8,1.05,64.36,16
26,100,44,2025-08-11,9.52,6,2.05,90.15,70
27,23,43,2025-08-11,4.68,1,0.82,99.81,39
28,82,49,2025-08-11,8.28,7,2.87,55.59,59
29,58,48,2025-08-11,9.55,4,3.43,76.55,65
30,149,42,2025-08-12,7.5,8,3.27,90.68,16
31,33,46,2025-08-12,6.22,4,4.16,68.81,50
32,118,48,2025-08-12,8.3,2,1.56,72.29,73
33,111,40,2025-08-12,0.83,3,3.28,87.55,17
34,80,40,2025-08-12,8.53,5,1.86,54.92,85
35,2,50,2025-08-12,6.47,2,0.9,68.03,36
36,120,46,2025-08-12,3.19,1,1.87,78.19,65
37,13,40,2025-08-12,2.76,7,0.82,61.93,41
38,20,41,2025-08-12,8.34,6,4.81,92,92
39,115,44,2025-08-12,0.9,7,3.77,88.29,64
40,116,40,2025-08-12,9.84,4,0.96,98.28,87
41,58,40,2025-08-12,4.07,5,4.04,76.15,86
42,89,47,2025-08-12,9.11,5,2.08,55.33,16
43,58,43,2025-08-12,6.22,7,4.6,96.83,88
44,118,40,2025-08-12,9.17,5,2.73,91.71,67
45,126,45,2025-08-12,2.06,7,4.43,77.22,23
46,3,49,2025-08-12,6.84,9,1.49,91.82,93
47,34,49,2025-08-12,5.97,6,2.15,94.08,33
48,54,50,2025-08-12,2.16,5,2.15,88.8,30
49,61,46,2025-08-13,0.95,2,0.94,78.56,75
50,70,43,2025-08-13,5.05,7,1.99,80.76,94
51,123,45,2025-08-13,8.44,8,3.47,92.22,64
52,87,43,2025-08-13,1.53,5,2.6,81.11,76
53,13,45,2025-08-13,2.27,4,4.46,60.32,93
54,137,42,2025-08-13,9.86,4,1.71,84.57,97
55,27,47,2025-08-13,6.04,5,2.1,76.6,47
56,53,43,2025-08-13,0.97,9,1.94,63.16,26
57,146,40,2025-08-13,9.55,3,2.98,50.04,17
58,28,50,2025-08-13,1,9,1.35,61.77,90
59,121,41,2025-08-13,7.53,5,1.28,83.68,78
60,54,43,2025-08-13,9.97,9,4.73,93.92,25
61,93,50,2025-08-13,3.75,9,2.19,91.54,25
62,103,46,2025-08-13,9.65,5,3.14,55.41,92
63,143,42,2025-08-13,3.55,4,0.75,53.56,30
64,85,43,2025-08-13,8.54,9,1.13,88.08,57
65,46,44,2025-08-13,3.45,2,0.93,64.24,30
66,144,41,2025-08-13,5.35,1,4.15,63.59,68
67,34,45,2025-08-13,3.9,9,0.96,50.1,19
68,90,47,2025-08-14,9.52,7,2.82,54.93,65
69,71,40,2025-08-14,1.6,6,1.2,56.78,69
70,143,46,2025-08-14,1.89,8,1.75,57.97,98
71,66,47,2025-08-14,6.9,6,4.47,72.27,17
72,14,46,2025-08-14,3.1,3,3.34,90.71,35
73,52,44,2025-08-14,7.4,7,4.84,90.61,19
74,24,45,2025-08-14,1.56,8,3.2,95.5,20
75,139,46,2025-08-14,9.01,5,0.54,72.18,46
76,73,42,2025-08-14,7.33,7,2.37,85.44,49
77,106,45,2025-08-14,1.04,9,0.6,74.42,30
78,30,47,2025-08-14,1.39,4,1.91,52.49,92
79,148,47,2025-08-14,1.47,2,2.67,54.02,85
80,3,47,2025-08-14,5.59,9,3.09,62.3,38
81,57,44,2025-08-14,8,3,1.57,99.08,50
