energy-consumption-ID,OperationID,teamID,Shift,location,Energy_Consumed(KWh),Carbon Emissions(kg CO2/kWh),Electricity Cost per Unit ($/kWh),Total Energy Cost(USD)
1,1,4,morning,Lake Austin,1192.33,417.3155,0.181141481,215.9804224
2,2,5,evening,Lake Austin,342.77,119.9695,0.255579804,87.60508929
3,3,6,night,Lake Austin,390.03,136.5105,0.287035843,111.9525899
4,4,22,morning,North Lisatown,503.15,176.1025,0.184640139,92.90168612
5,5,23,evening,North Lisatown,622.51,217.8785,0.230915563,143.747247
6,6,24,night,North Lisatown,624.22,218.477,0.159435643,99.52291727
7,7,7,morning,Lake Jamieport,1006.33,352.2155,0.286422004,288.2350552
8,8,8,evening,Lake Jamieport,635.22,222.327,0.344554245,218.8677475
9,9,9,night,Lake Jamieport,547.32,191.562,0.25198441,137.9161076
10,10,25,morning,Petersonview,951.63,333.0705,0.168128389,159.9960188
11,11,26,evening,Petersonview,614.76,215.166,0.188107652,115.6410603
12,12,27,night,Petersonview,739.92,258.972,0.248122547,183.5908353
13,13,22,morning,North Lisatown,936.33,327.7155,0.222584641,208.4126768
14,14,23,evening,North Lisatown,788.56,275.996,0.236915852,186.8223639
15,15,24,night,North Lisatown,524.81,183.6835,0.198753515,104.3078321
16,16,1,morning,Karenbury,977.54,342.139,0.264511464,258.5705369
17,17,2,evening,Karenbury,684.49,239.5715,0.271562484,185.881805
18,18,3,night,Karenbury,1146.97,401.4395,0.315918634,362.3491956
19,19,1,morning,Karenbury,1170.77,409.7695,0.244357207,286.0860869
20,20,2,evening,Karenbury,786.64,275.324,0.269618125,212.0924018
21,21,3,night,Karenbury,730.72,255.752,0.219880869,160.6713486
22,22,19,morning,North Jeremymouth,875.22,306.327,0.208752711,182.704548
23,23,20,evening,North Jeremymouth,679.66,237.881,0.315689753,214.5616973
24,24,21,night,North Jeremymouth,435.47,152.4145,0.210605738,91.7124806
25,25,16,morning,New Sonia,801.26,280.441,0.189038833,151.469255
26,26,17,evening,New Sonia,897.96,314.286,0.307731079,276.3301997
27,27,18,night,New Sonia,1154.44,404.054,0.199214358,229.981024
28,28,4,morning,Lake Austin,603.28,211.148,0.315924206,190.5907548
29,29,5,evening,Lake Austin,757.57,265.1495,0.189571224,143.6134723
30,30,6,night,Lake Austin,1087.6,380.66,0.346808442,377.1888614
31,31,13,morning,Mcfarlandburgh,526.08,184.128,0.294748084,155.061072
32,32,14,evening,Mcfarlandburgh,883.33,309.1655,0.330966977,292.3530597
33,33,15,night,Mcfarlandburgh,448.25,156.8875,0.240388404,107.7541019
34,34,13,morning,Mcfarlandburgh,617.38,216.083,0.298059592,184.0160311
35,35,14,evening,Mcfarlandburgh,1012.13,354.2455,0.340862602,344.9972651
36,36,15,night,Mcfarlandburgh,338.45,118.4575,0.208964488,70.72403103
37,37,22,morning,North Lisatown,870.35,304.6225,0.329407022,286.699402
38,38,23,evening,North Lisatown,987.75,345.7125,0.306904769,303.1451858
39,39,24,night,North Lisatown,1034.24,361.984,0.23691021,245.0220157
40,40,4,morning,Lake Austin,708.09,247.8315,0.169961795,120.3482473
41,41,5,evening,Lake Austin,940.45,329.1575,0.206492175,194.1955662
42,42,6,night,Lake Austin,445.37,155.8795,0.305493498,136.0576392
43,43,13,morning,Mcfarlandburgh,855.62,299.467,0.278589169,238.3664647
44,44,14,evening,Mcfarlandburgh,1084.23,379.4805,0.223772258,242.6205957
45,45,15,night,Mcfarlandburgh,1093.88,382.858,0.271692441,297.1989269
46,46,16,morning,New Sonia,686.71,240.3485,0.269173818,184.8443523
47,47,17,evening,New Sonia,546.36,191.226,0.288895943,157.8411874
48,48,18,night,New Sonia,1063.47,372.2145,0.275510103,292.9967288
49,49,1,morning,Karenbury,527.64,184.674,0.2143435,113.0962044
50,50,2,evening,Karenbury,376.17,131.6595,0.30069277,113.1115992
51,51,3,night,Karenbury,698.43,244.4505,0.158215369,110.50236
52,52,19,morning,North Jeremymouth,763.52,267.232,0.310281278,236.9059615
53,53,20,evening,North Jeremymouth,357.97,125.2895,0.190047229,68.03120657
54,54,21,night,North Jeremymouth,710.9,248.815,0.177874045,126.4506587
55,55,10,morning,Lake Scott,560.45,196.1575,0.308598735,172.9541608
56,56,11,evening,Lake Scott,759.29,265.7515,0.253441066,192.4352672
57,57,12,night,Lake Scott,665.39,232.8865,0.218687062,145.512184
58,58,19,morning,North Jeremymouth,1168.12,408.842,0.167253785,195.3724912
59,59,20,evening,North Jeremymouth,774.1,270.935,0.262251992,203.0092667
60,60,21,night,North Jeremymouth,456.6,159.81,0.245754628,112.2115633
61,61,25,morning,Petersonview,629.7,220.395,0.328304318,206.733229
62,62,26,evening,Petersonview,619.47,216.8145,0.344505356,213.410733
63,63,27,night,Petersonview,662.05,231.7175,0.298404673,197.5588136
64,64,28,morning,Roseberg,1162.59,406.9065,0.346833124,403.2247212
65,65,29,evening,Roseberg,1179.38,412.783,0.332560044,392.2146651
66,66,30,night,Roseberg,1147.82,401.737,0.230429328,264.4913913
67,67,4,morning,Lake Austin,935.06,327.271,0.267391165,250.0267824
68,68,5,evening,Lake Austin,325.76,114.016,0.183807065,59.87698943
69,69,6,night,Lake Austin,667.67,233.6845,0.294880387,196.8827882
70,70,22,morning,North Lisatown,1138,398.3,0.177648653,202.1641675
71,71,23,evening,North Lisatown,1044.38,365.533,0.186289171,194.5566844
72,72,24,night,North Lisatown,893.78,312.823,0.17516097,156.5553722
73,73,16,morning,New Sonia,533.6,186.76,0.206055568,109.9512511
74,74,17,evening,New Sonia,754.59,264.1065,0.16444341,124.087353
